Day,Grande_Comore,Moheli,Anjouan
1837,80085.34958,79584.48942,71171.29177
1838,76214.22546,75294.76452,69057.33872
1839,73404.247,71967.84225,67551.2255
1840,70715.77567,69587.9844,66141.09064
1841,71708.26724,80174.14535,73818.67193
1842,95477.84291,100898.8239,106630.8394
1843,102866.6999,103436.3637,117042.3308
1844,118969.9838,106934.7901,119962.0093
1845,146552.734,153432.0568,147059.0879
1846,131671.354,137156.206,133861.4026
1847,120333.8264,122407.5414,123178.8578
1848,107588.4433,108623.7723,109892.9542
1849,98971.62238,102206.1728,104037.7647
1850,92827.88635,99497.05061,98823.5109
1851,86014.59633,91245.42045,90692.88822
1852,80456.4783,84427.53992,84145.07685
1853,76722.09249,79337.21312,80442.61282
1854,73570.48335,75686.77697,76387.66612
1855,71843.37284,72505.9123,73617.62375
1856,69448.41065,69763.89823,70815.21096
1857,67393.41383,67604.13159,68446.62217
1858,65893.33491,65922.10363,66761.56569
1859,64646.08728,64614.80426,65561.38989
1860,63805.19934,63595.4939,64403.91802
1861,63081.42871,62801.95034,63483.00937
1862,62549.8545,62205.55662,63037.25062
1863,62063.82184,61717.68922,62612.32018
1864,61804.67836,61338.03386,62181.60722
1865,61468.96144,61043.54254,61768.09026
1866,61547.4288,61028.0096,67986.18907
1867,62480.1692,61665.0637,102077.6475
1868,67170.98517,67575.33588,102288.4465
1869,70842.86059,71782.01766,103119.2151
1870,70916.58619,72296.62696,96781.13266
1871,70292.80335,73911.89821,93527.44436
1872,69264.38475,73145.71752,89145.26639
1873,68355.34311,70409.65955,83826.72643
1874,68520.18287,68499.44393,81337.2473
1875,70372.97553,70180.52448,83547.79512
1876,76364.24075,72632.57722,91256.48648
1877,82799.38022,79216.89618,93790.14117
1878,84498.7518,77544.96972,93015.13127
1879,86994.28514,76944.44102,92103.40083
1880,85467.42826,81244.10074,91123.11561
1881,82635.31505,80600.93249,88459.04236
1882,98227.70303,96826.63244,98568.2849
1883,107540.2307,101710.7206,103345.7551
1884,102128.6383,98292.05334,103608.0306
1885,103876.3702,95865.62063,100263.2181
1886,119237.233,101240.6608,108016.2023
1887,106342.6464,92187.55696,98261.51204
1888,98628.85652,85524.35109,92337.23257
1889,93619.30275,80247.38204,88177.97164
1890,87345.42352,77882.86046,83749.01931
1891,81584.53572,74411.67994,78931.16294
1892,80906.36248,76680.90267,79412.42868
1893,76290.63752,73078.75916,75206.22635
1894,73706.39215,70960.46478,72732.80445
1895,71183.17257,68595.83997,70652.47617
1896,68877.80256,66701.25824,68339.75843
1897,68654.32404,66254.56635,68430.61948
1898,67789.61101,66302.03673,67313.38925
1899,68140.90281,65679.78659,67024.20542
1900,67243.59987,64902.58583,66477.04641
1901,66253.09422,63924.7501,65668.23801
1902,66001.67212,63336.45605,65328.44047
1903,69500.39605,66948.81351,70238.81477
1904,70900.49336,69767.15481,72253.04264
1905,69618.90624,67716.24169,70104.0251
1906,67942.03925,66236.55875,68386.25991
1907,67448.39497,66426.3124,68803.88576
1908,66309.70996,65299.482,68839.13142
1909,65522.9849,64264.06,67709.51465
1910,64460.26675,63390.15134,66498.19289
1911,63853.25602,62725.24631,65574.79019
1912,63722.24287,62167.14194,64825.52788
1913,63763.66304,61999.31702,63988.40245
1914,64049.37634,62823.09212,64170.55821
1915,64566.91163,63333.45631,65164.68143
1916,64341.24443,63024.02878,64734.89142
1917,63386.46466,62355.11598,63703.05122
1918,62682.91491,61834.16617,63042.32472
1919,62116.95671,61428.45005,62451.39682
1920,61911.97083,61403.58915,62570.77946
1921,62420.00324,62885.09338,63209.07957
1922,62830.62675,63601.48298,63724.44006
1923,62457.04792,64502.93666,64372.60883
1924,63349.07588,65291.76016,64921.20762
1925,64302.83346,65203.34299,65573.96858
